	GName	Class	MF	Mass	HMDB	KEGG	PC	Nam2
	trans-9(S),10(S)-Dihydrodiolphenanthrene	todo2	C14H12O2	212.08373	NA	C11428	114767	trans-9(S),10(S)-Dihydrodiolphenanthrene
	Anthracene-cis-1,2-dihydrodiol;;cis-1,2-Dihydroanthracene-1,2-diol	todo2	C14H12O2	212.08373	NA	C16203	182313	Anthracene-cis-1,2-dihydrodiol
	Anthracene-9,10-dihydrodiol	todo2	C14H12O2	212.08373	NA	C16205	12347903	Anthracene-9,10-dihydrodiol
	Resveratrol;;3,4,5-Trihydroxystilbene;;trans-Resveratrol	todo2	C14H12O3	228.078644	HMDB03747	C03582	445154	Resveratrol
	Piceatannol	todo2	C14H12O4	244.073559	HMDB04215	C05901	667639	Piceatannol
	Dihydropteroate	todo	C14H14N6O3	314.112738	HMDB01412	C00921	170	Dihydropteroate
	"Cyclic dehypoxanthine futalosine"	todo2	C14H14O7	294.073953	NA	C17017	44182442	"Cyclic dehypoxanthine futalosine"
	Pyochelin	todo2	C14H16N2O3S2	324.060234	NA	C12037	5462518	Pyochelin
	3-Dimethylallyl-4-hydroxyphenylpyruvate;;3-[4-Hydroxy-3-(2-methylprop-1-en-1-yl)phenyl]-2-oxopropanoate	todo2	C14H16O4	248.104859	NA	C12456	443850	3-Dimethylallyl-4-hydroxyphenylpyruvate
	"Dehypoxanthine futalosine"	todo2	C14H16O7	296.089603	NA	C17010	25137931	"Dehypoxanthine futalosine"
	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate;;5-Enolpyruvoyl-6-hydroxy-2-succinylcyclohex-3-ene-1-carboxylate	todo2	C14H16O9	328.079432	NA	C16519	24883454	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
	Succinyladenosine	"Amino acids"	C14H17N5O8	383.107713	HMDB00912		20849086	Succinyladenosine
	TRIBOA-glucoside;;2,4,7-Trihydroxy-1,4-benzoxazin-3-one-glucoside;;2,4,7-Trihydroxy-2H-1,4-benzoxazin-3(4H)-one-glucoside	todo2	C14H17NO10	359.085246	NA	C18062	46174045	TRIBOA-glucoside
	Prunasin;;(R)-Prunasin	todo2	C14H17NO6	295.105587	HMDB34934	C00844	119033	Prunasin
	"Dhurrin;;(S)-4-Hydroxymandelonitrile beta-D-glucoside"	todo2	C14H17NO7	311.100502	NA	C05143	161355	Dhurrin
	"DIBOA-glucoside;;2,4-Dihydroxy-1,4-benzoxazin-3-one glucoside"	todo2	C14H17NO9	343.090331	NA	C15772	5316752	DIBOA-glucoside
	Ribazole	todo	C14H18N2O4	278.126657	HMDB11112	C05775	160433	Ribazole
	Aspartam	Xenobiotics	C14H18N2O5	294.121572		C11045	134601	Aspartam
	Gamma-glutamylphenylalanine	Peptides	C14H18N2O5	294.121572	HMDB00594		111299	Gamma-glutamylphenylalanine
	Gamma-glutamyltyrosine	Peptides	C14H18N2O6	310.116486	HMDB11741		94340	Gamma-glutamyltyrosine
	Adenylosuccinate	todo	C14H18N5O11P	463.074043	HMDB00536	C03794	447145	Adenylosuccinate
	"Strigolactone ABC-rings"	todo2	C14H18O3	234.125594	NA	C18036	46174042	"Strigolactone ABC-rings"
	"Ribazole 5-phosphate"	todo	C14H19N2O7P	358.092988	HMDB03882	C04778	444941	"Ribazole 5-phosphate"
	"Deacetoxycephalosporin C;;DAOC"	todo2	C14H19N3O6S	357.099456	NA	C06565	160139	"Deacetoxycephalosporin C"
	"Deacetylcephalosporin C"	todo2	C14H19N3O7S	373.094371	NA	C03112	160577	"Deacetylcephalosporin C"
	"5-Butyrylphosphoinosine;;Inosine 5-phosphobutyrate"	todo2	C14H19N4O9P	418.088965	NA	C06435	441017	5-Butyrylphosphoinosine
	"Sinalbin;;p-Hydroxybenzyl glucosinolate"	todo2	C14H19NO10S2	425.045038	NA	C08426	656568	Sinalbin
	Desulfoglucotropeolin	todo2	C14H19NO6S	329.093308	NA	C01069	11953793	Desulfoglucotropeolin
	p-Hydroxybenzyldesulphoglucosinolate;;Desulfo-p-hydroxybenzylglucosinolate	todo2	C14H19NO7S	345.088223	NA	C17240	46173871	p-Hydroxybenzyldesulphoglucosinolate
	"Glucotropaeolin;;Glucotropeolin;;Benzyl glucosinolate"	todo2	C14H19NO9S2	409.050123	HMDB38419	C02153	656498	Glucotropaeolin
	UDP-L-Ara4O	todo	C14H20N2O16P2	534.028806		C16155	17756767	UDP-L-Ara4O
	Feruloylputrescine;;Subaphyllin	todo2	C14H20N2O3	264.147392	HMDB33463	C10497	5281796	Feruloylputrescine
	p-Coumaroylagmatine;;N-(4-Guanidinobutyl)-4-hydroxycinnamide;;N-(4-Guanidinobutyl)-4-hydroxycinnamamide	todo2	C14H20N4O2	276.158626	HMDB33460	C04498	5280691	p-Coumaroylagmatine
	Discadenine;;3-(3-Amino-3-carboxypropyl)-N6-(delta2-isopentenyl)-adenine	todo2	C14H20N6O2	304.164774	NA	C01804	194139	Discadenine
	S-adenosylhomocysteine	"Amino acids"	C14H20N6O5S	384.121589	HMDB00939	C00021	439155	S-adenosylhomocysteine
	"Salidroside;;p-Hydroxyphenethyl alcohol 1-O-beta-D-glucoside;;Tyrosol glucoside"	todo2	C14H20O7	300.120903	NA	C06046	159278	Salidroside
	S-dicarboxyethylglutathione	"Amino acids"	C14H21N3O10S	423.094765			6857725	S-dicarboxyethylglutathione
x	"Isopenicillin N"	todo2	C14H21N3O6S	359.115106	NA	C05557	440723	"Penicillin N"
x	"Penicillin N;;Adicillin"	todo2	C14H21N3O6S	359.115106	NA	C06564	71724	"Penicillin N"
	(-)-Sedamine	todo2	C14H21NO	219.162314	NA	C10171	442657	(-)-Sedamine
	Lidocaine	todo2	C14H22N2O	234.173213	HMDB14426	C07073	3676	Lidocaine
	N2-Citryl-N6-acetyl-N6-hydroxy-L-lysine;;N2-Citryl-N6-acetyl-N6-hydroxylysine	todo2	C14H22N2O10	378.127445	NA	C20333	56927962	N2-Citryl-N6-acetyl-N6-hydroxy-L-lysine
x	UDP-L-arabinose;;UDP-L-arabinopyranose;;UDP-beta-L-arabinopyranose	todo2	C14H22N2O16P2	536.044456	HMDB12303	C00935	23724466	"UDP arabinose"
	UDP-apiose;;UDP-D-apiose;;UDP-alpha-D-apiose	todo2	C14H22N2O16P2	536.044456	HMDB12301	C01623	439536	"UDP apiose"
x	UDP-L-arabinofuranose;;UDP-beta-L-arabinofuranose	todo2	C14H22N2O16P2	536.044456	NA	C18094	46174047	"UDP arabinose"
	3-Hydroxylidocaine	todo2	C14H22N2O2	250.168128	NA	C16560	161824	3-Hydroxylidocaine
	"2-(alpha-Hydroxyethyl)thiamine diphosphate;;2-Hydroxyethyl-ThPP"	todo2	C14H22N4O8P2S	468.063358	HMDB03904	C05125	440568	"2-(alpha-Hydroxyethyl)thiamine diphosphate"
	Decarboxy-AdoMet	todo	C14H22N6O3S	354.14741	HMDB00988	C01137	439415	Decarboxy-AdoMet
	UDP-L-Ara4N	todo	C14H23N3O15P2	535.06044		C16153	17756769	UDP-L-Ara4N
	"Tetradecadienoic acid"	Lipids	C14H24O2	224.17763	HMDB00560		5312409	"Tetradecadienoic acid"
	"4-(Cytidine 5-diphospho)-2-C-methyl-D-erythritol"	todo2	C14H25N3O14P2	521.081176	NA	C11435	443199	"4-(Cytidine 5-diphospho)-2-C-methyl-D-erythritol"
	"CDP-ribitol;;CDP-L-ribitol;;CDP 5-ester with D-ribitol"	todo2	C14H25N3O15P2	537.07609	NA	C00789	165130	CDP-ribitol
	Aminoadipyl-cysteinyl-valine	todo	C14H25N3O6S	363.146407		C05556	440722	Aminoadipyl-cysteinyl-valine
	CDP-choline	Nucleotides	C14H25N4O11P2	487.099506	HMDB01413	C00307	13804	CDP-choline
	"2-Phospho-4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol"	todo2	C14H26N3O17P3	601.047506	NA	C11436	443200	"2-Phospho-4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol"
	CMP-N-trimethyl-2-aminoethylphosphonate;;CMP-2-trimethylaminoethylphosphonate	todo2	C14H26N4O10P2	472.112416	NA	C05674	440755	CMP-N-trimethyl-2-aminoethylphosphonate
	"Myristoleic acid"	Lipids	C14H26O2	226.19328	HMDB02000	C08322	5281119	"Myristoleic acid"
	"Tetradecanedioic acid"	Lipids	C14H26O4	258.183109	HMDB00872	C11002	13185	"Tetradecanedioic acid"
	2-N-Acetylparomamine	todo2	C14H27N3O8	365.179815	NA	C17582	46173948	2-N-Acetylparomamine
	"Carnitine C7:0"	Lipids	C14H27NO4	273.194008	HMDB13238		6426896	"Carnitine C7:0"
	"Glucolesquerellin;;6-Methylthiohexyl glucosinolate"	todo2	C14H27NO9S3	449.084794	NA	C17250	46173875	Glucolesquerellin
	"Myristic acid"	Lipids	C14H28O2	228.20893	HMDB00806	C06424	11005	"Myristic acid"
	"O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate;;alpha-L-Dihydrostreptosyl-(1->4)-streptidine 6-phosphate"	todo2	C14H29N6O11P	488.163192	NA	C04767	5280728	"O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate"
	"Cinnavalininate;;Cinnabarinic acid"	todo2	C14H8N2O6	300.038236	HMDB04078	C05640	114918	Cinnavalininate
	Anthraquinone;;9,10-Anthraquinone	todo2	C14H8O2	208.052429	NA	C16207	6780	Anthraquinone
	2H-Dibenz[b,f]azepin-2-one	todo2	C14H9NO	207.068414	NA	C16605	276457	2H-Dibenz[b,f]azepin-2-one
	Carbamazepine-o-quinone	todo2	C15H10N2O3	266.069142	NA	C16606	24892807	Carbamazepine-o-quinone
	"Quercetin 3-sulfate"	todo2	C15H10O10S	381.999468	NA	C00616	5280362	"Quercetin sulfate"
x	"Quercetin 3,3-bissulfate"	todo2	C15H10O13S2	461.956282	NA	C01155	5280402	"Quercetin bissulfate"
x	"Quercetin 3,4-bissulfate"	todo2	C15H10O13S2	461.956282	NA	C01156	5280403	"Quercetin bissulfate"
x	"Quercetin 3,3,7-trissulfate"	todo2	C15H10O16S3	541.913097	NA	C03897	5280631	"Quercetin trissulfate"
x	"Quercetin 3,4,7-trissulfate"	todo2	C15H10O16S3	541.913097	NA	C03898	5280632	"Quercetin trissulfate"
	"Phenanthrene-4-carboxylate;;4-Phenanthroic acid"	todo2	C15H10O2	222.06808	NA	C18253	181727	Phenanthrene-4-carboxylate
	Chrysin;;5,7-Dihydroxyflavone	todo2	C15H10O4	254.057909	HMDB36619	C10028	5281607	Chrysin
	Anhydroglycinol;;3,9-Dihydroxypterocarpen	todo2	C15H10O4	254.057909	NA	C10200	442667	Anhydroglycinol
	Daidzein	todo2	C15H10O4	254.057909	HMDB03312	C10208	5281708	Daidzein
	7,4-Dihydroxyflavone	todo2	C15H10O4	254.057909	NA	C12123	5282073	7,4-Dihydroxyflavone
	Genistein	Xenobiotics	C15H10O5	270.052823	HMDB03217	C06563	5280961	Genistein
	Pelargonidin	todo	C15H10O5	270.052823	HMDB03263	C05904	440832	Pelargonidin
	Apigenin;;4,5,7-Trihydroxyflavone;;5,7,4-Trihydroxyflavone	todo2	C15H10O5	270.052823	HMDB02124	C01477	5280443	Apigenin
	2-Hydroxydaidzein;;3-(2,4-Dihydroxyphenyl)-7-hydroxychromen-4-one	todo2	C15H10O5	270.052823	HMDB29372	C02495	5280520	2-Hydroxydaidzein
	Galangin;;3,5,7-Trihydroxyflavone	todo2	C15H10O5	270.052823	HMDB29521	C10044	5281616	Galangin
	4,6,7-Trihydroxyisoflavone;;6-Hydroxydaidzein	todo2	C15H10O5	270.052823	HMDB31715	C14314	5284649	4,6,7-Trihydroxyisoflavone
	Luteolin	todo2	C15H10O6	286.047738	HMDB05800	C01514	5280445	Luteolin
	Kaempferol	todo2	C15H10O6	286.047738	HMDB05801	C05903	5280863	Kaempferol
	Cyanidin	todo2	C15H10O6	286.047738	HMDB02708	C05905	128861	Cyanidin
	2-Hydroxygenistein;;2,4,5,7-Tetrahydroxyisoflavone	todo2	C15H10O6	286.047738	HMDB34014	C12134	5282074	2-Hydroxygenistein
	Quercetin	todo2	C15H10O7	302.042653	HMDB05794	C00389	5280343	Quercetin
	Delphinidin	todo2	C15H10O7	302.042653	HMDB03074	C05908	128853	Delphinidin
	Tricetin	todo2	C15H10O7	302.042653	HMDB29620	C10192	5281701	Tricetin
	Myricetin;;3,5,7,3,4,5-Hexahydroxyflavone	todo2	C15H10O8	318.037567	HMDB02755	C10107	5281672	Myricetin
	Thyroxine	Xenobiotics	C15H11I4NO4	776.6867	HMDB00248	C01829	5819	Thyroxine
	"Tetrabromobisphenol A;;3,3,5,5-Tetrabromobisphenol A"	todo2	C15H12Br4O2	539.757078	NA	C13620	6618	"Tetrabromobisphenol A"
	Triiodothyronine	Xenobiotics	C15H12I3NO4	650.790052	HMDB00265	C02465	5920	Triiodothyronine
	Carbamazepine	todo2	C15H12N2O	236.094963	HMDB14704	C06868	2554	Carbamazepine
	Oxcarbazepine	todo2	C15H12N2O2	252.089878	HMDB14914	C07492	34312	Oxcarbazepine
	"Carbamazepine-10,11-epoxide;;Carbamazepine epoxide"	todo2	C15H12N2O2	252.089878	NA	C07496	2555	Carbamazepine-10,11-epoxide
x	2-Hydroxycarbamazepine	todo2	C15H12N2O2	252.089878	NA	C16601	129274	Hydroxycarbamazepine
x	3-Hydroxycarbamazepine	todo2	C15H12N2O2	252.089878	NA	C16602	135290	Hydroxycarbamazepine
	2,3-Dihydroxycarbamazepine	todo2	C15H12N2O3	268.084792	NA	C16603	24892806	Dihydroxycarbamazepine
	1-Methoxyphenanthrene	todo2	C15H12O	208.088815	NA	C11433	43547	1-Methoxyphenanthrene
	4-[2-(5-Carboxy-2-hydroxy-3-methoxyphenyl)-2-oxoethylidene]-2-hydroxy-2-pentenedioate	todo2	C15H12O10	352.043047	NA	C18349	45479417	4-[2-(5-Carboxy-2-hydroxy-3-methoxyphenyl)-2-oxoethylidene]-2-hydroxy-2-pentenedioate
	1-Methoxy-2-hydroxyanthracene	todo2	C15H12O2	224.08373	NA	C16208	21514919	1-Methoxy-2-hydroxyanthracene
	3,9-Dihydroxypterocarpan;;(6aR,11aR)-3,9-Dihydroxypterocarpan	todo2	C15H12O4	256.073559	NA	C04271	162933	3,9-Dihydroxypterocarpan
	Isoliquiritigenin	todo2	C15H12O4	256.073559	HMDB23900	C08650	638278	Isoliquiritigenin
	Liquiritigenin;;7,4-Dihydroxyflavanone	todo2	C15H12O4	256.073559	HMDB15950	C09762	114829	Liquiritigenin
	Pinocembrin;;5,7-Dihydroxyflavanone	todo2	C15H12O4	256.073559	HMDB17299	C09827	68071	Pinocembrin
	"Pinocembrin chalcone"	todo2	C15H12O4	256.073559	NA	C16404	6474295	"Pinocembrin chalcone"
	cis-3,4-Phenanthrenedihydrodiol-4-carboxylate	todo2	C15H12O4	256.073559	NA	C18256	49787035	cis-3,4-Phenanthrenedihydrodiol-4-carboxylate
	Naringenin	todo	C15H12O5	272.068473	HMDB02670	C00509	439246	Naringenin
	"Naringenin chalcone"	todo	C15H12O5	272.068473	HMDB29631;HMDB16067	C06561	5280960	"Naringenin chalcone"
	3,6,9-Trihydroxypterocarpan;;(6aS,11aS)-3,6a,9-Trihydroxypterocarpan;;(-)-Glycinol	todo2	C15H12O5	272.068473	HMDB20406	C01263	129648	3,6,9-Trihydroxypterocarpan
	2-Hydroxydihydrodaidzein;;2-Hydroxy-2,3-dihydrodaidzein	todo2	C15H12O5	272.068473	HMDB33928	C03567	440047	2-Hydroxydihydrodaidzein
	Butein	todo2	C15H12O5	272.068473	NA	C08578	5281222	Butein
x	Butin;;(-)-Butin;;7,3,4-Trihydroxyflavanone	todo2	C15H12O5	272.068473	NA	C09614	92775	Trihydroxyflavanone
x	Garbanzol;;3,7,4-Trihydroxyflavanone	todo2	C15H12O5	272.068473	HMDB23837	C09751	442410	Trihydroxyflavanone
x	Pinobanksin;;3,5,7-Trihydroxyflavanone	todo2	C15H12O5	272.068473	HMDB37506	C09826	73202	Trihydroxyflavanone
x	2,7,4-Trihydroxyisoflavanone	todo2	C15H12O5	272.068473	NA	C15567	11954208	Trihydroxyflavanone
x	6,7,4-Trihydroxyflavanone	todo2	C15H12O5	272.068473	NA	C16232	23724670	Trihydroxyflavanone
	Fustin;;2,3-Dihydrofisetin	todo2	C15H12O6	288.063388	NA	C01378	5317435	Fustin
	Eriodictyol	todo2	C15H12O6	288.063388	HMDB05810	C05631	440735	Eriodictyol
	2-Hydroxy-2,3-dihydrogenistein	todo2	C15H12O6	288.063388	NA	C12631	443902	2-Hydroxy-2,3-dihydrogenistein
	"Eriodictyol chalcone;;2,3,4,4,6-Pentahydroxychalcone"	todo2	C15H12O6	288.063388	NA	C15525	5461154	"Eriodictyol chalcone"
	2,6,7,4-Tetrahydroxyisoflavanone	todo2	C15H12O6	288.063388	NA	C16233	23724671	2,6,7,4-Tetrahydroxyisoflavanone
	Taxifolin;;Dihydroquercetin;;(+)-Dihydroquercetin;;(+)-Taxifolin;;trans-Dihydroquercetin	todo2	C15H12O7	304.058303	NA	C01617	439533	Taxifolin
	Pentahydroxyflavanone;;Dihydrotricetin	todo2	C15H12O7	304.058303	NA	C05911	440836	Pentahydroxyflavanone
	Dihydromyricetin;;Ampelopsin;;(+)-Dihydromyricetin;;(+)-Ampelopsin	todo2	C15H12O8	320.053217	NA	C02906	161557	Dihydromyricetin
	2,2,3-Trihydroxy-3-methoxy-5,5-dicarboxybiphenyl	todo2	C15H12O8	320.053217	NA	C18348	15608168	2,2,3-Trihydroxy-3-methoxy-5,5-dicarboxybiphenyl
	"Tribromobisphenol A;;3,3,5-Tribromobisphenol A"	todo2	C15H13Br3O2	461.846566	NA	C13621	80801	"Tribromobisphenol A"
	Diiodothyronine	Xenobiotics	C15H13I2NO4	524.893404	HMDB00582;HMDB05869		92859;123675;53477796	Diiodothyronine
	"Dibromobisphenol A;;3,3-Dibromobisphenol A"	todo2	C15H14Br2O2	383.936054	NA	C13622	656687	"Dibromobisphenol A"
	"10-Hydroxycarbazepine;;10-Hydroxycarbamazepine;;GP 47779"	todo2	C15H14N2O2	254.105528	NA	C07493	114709	10-Hydroxycarbazepine
	Dihydroxycarbazepine;;10,11-Dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide;;10,11-Dihydroxycarbamazepine	todo2	C15H14N2O3	270.100442	NA	C07495	83852	Dihydroxycarbazepine
	4,4-Dihydroxy-alpha-methylstilbene	todo2	C15H14O2	226.09938	NA	C13632	5282240	4,4-Dihydroxy-alpha-methylstilbene
	Equol	Xenobiotics	C15H14O3	242.094294	HMDB02209	C14131	382975	Equol
	4,5-Bisphenol-o-quinone;;BPAquinone	todo2	C15H14O3	242.094294	NA	C13628	656690	4,5-Bisphenol-o-quinone
	"2,2-Bis(4-hydroxyphenyl)-propanoic acid"	todo2	C15H14O4	258.089209	NA	C13633	656694	"2,2-Bis(4-hydroxyphenyl)-propanoic acid"
	"2-Naphtylmethylsuccinic acid;;Naphthyl-2-methyl-succinic acid"	todo2	C15H14O4	258.089209	NA	C14115	656886	"2-Naphtylmethylsuccinic acid"
	Afzelechin;;3,5,7,4-Tetrahydroxyflavan	todo2	C15H14O5	274.084124	HMDB17315	C09320	442154	Afzelechin
	Apiforol	todo2	C15H14O5	274.084124	NA	C12124	443638	Apiforol
	(-)-Epiafzelechin;;epi-Afzelechin	todo2	C15H14O5	274.084124	HMDB30822	C12128	443639	(-)-Epiafzelechin
	5-Deoxyleucopelargonidin	todo2	C15H14O5	274.084124	NA	C16415	13886897	5-Deoxyleucopelargonidin
	Leucopelargonidin	todo	C15H14O6	290.079038	HMDB32322	C03648	440073	Leucopelargonidin
	Luteoforol;;3-Deoxyleucocyanidin	todo2	C15H14O6	290.079038	HMDB28298	C05907	440834	Luteoforol
	(+)-Catechin;;D-Catechin;;Cyanidanol;;(2R-trans)-2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol;;(2R,3S)-Catechin;;(2R,3S)-(+)-Catechin;;Cianidanol	todo2	C15H14O6	290.079038	HMDB02780	C06562	9064	(+)-Catechin
	(-)-Epicatechin	todo2	C15H14O6	290.079038	HMDB01871	C09727	72276	(-)-Epicatechin
	Fisetinidol-4beta-ol;;(-)-Mollisacacidin;;Fisetinin-3,4-diol;;5-Deoxyleucocyanidin	todo2	C15H14O6	290.079038	NA	C09736	442398	Fisetinidol-4beta-ol
	Leucocyanidin;;2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol;;3,3,4,4,5,7-Flavanhexol;;3,4-Cyanidiol;;Leucoanthocyanidol;;Leucocianidol;;Leucocyanidol;;Leukocyanidine;;Procyanidol;;Resivit;;2,3-trans-3,4-cis-Leucocyanidin	todo2	C15H14O7	306.073953	NA	C05906	440833	Leucocyanidin
	(+)-Gallocatechin;;Gallocatechol	todo2	C15H14O7	306.073953	HMDB25033	C12127	65084	(+)-Gallocatechin
	(-)-Epigallocatechin;;Epigallocatechol	todo2	C15H14O7	306.073953	HMDB38361	C12136	72277	(-)-Epigallocatechin
	Leucodelphinidin	todo2	C15H14O8	322.068867	NA	C05909	440835	Leucodelphinidin
	"Monobromobisphenol A;;3-Monobromobisphenol A"	todo2	C15H15BrO2	306.025542	NA	C13623	656688	"Monobromobisphenol A"
	"Bisphenol A;;2,2-Bis(4-Hydroxyphenyl)propane"	todo2	C15H16O2	228.11503	HMDB18716	C13624	6623	"Bisphenol A"
	"5-Hydroxybisphenol A;;5-Hydroxybisphenol;;BPAcatechol"	todo2	C15H16O3	244.109944	NA	C13626	656689	"5-Hydroxybisphenol A"
	1,2-Bis(4-hydroxyphenyl)-2-propanol	todo2	C15H16O3	244.109944	NA	C13629	656691	1,2-Bis(4-hydroxyphenyl)-2-propanol
	2,2-Bis(4-hydroxyphenyl)-1-propanol	todo2	C15H16O3	244.109944	NA	C13631	656692	2,2-Bis(4-hydroxyphenyl)-1-propanol
	2,3-Bis(4-hydroxyphenyl)-1,2-propanediol	todo2	C15H16O4	260.104859	NA	C13634	656695	2,3-Bis(4-hydroxyphenyl)-1,2-propanediol
	"Sinapoyl malate;;Sinapoyl-(S)-malate"	todo2	C15H16O9	340.079432	NA	C02887	11953815	"Sinapoyl malate"
	Anatalline	todo2	C15H17N3	239.142248	NA	C12454	443848	Anatalline
	Norbelladine	todo2	C15H17NO3	259.120843	NA	C16701	416247	Norbelladine
	(1R)-Hydroxy-(2R)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene	todo2	C15H17NO4S	307.087829	NA	C14796	11954047	(1R)-Hydroxy-(2R)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene
	(1R)-N-Acetyl-L-cysteinyl-(2R)-hydroxy-1,2-dihydronaphthalene	todo2	C15H17NO4S	307.087829	NA	C14797	11954048	(1R)-N-Acetyl-L-cysteinyl-(2R)-hydroxy-1,2-dihydronaphthalene
	(1S)-Hydroxy-(2S)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene	todo2	C15H17NO4S	307.087829	NA	C14798	11954049	(1S)-Hydroxy-(2S)-N-acetyl-L-cysteinyl-1,2-dihydronaphthalene
	(7R)-7-(4-Carboxybutanamido)cephalosporanate;;7-Glutarylaminocephalosporanate	todo2	C15H18N2O8S	386.078387	NA	C15666	446570	(7R)-7-(4-Carboxybutanamido)cephalosporanate
x	trans-beta-D-Glucosyl-2-hydroxycinnamate;;beta-D-Glucosyl-2-coumarate	todo2	C15H18O8	326.100168	NA	C05158	5280759	Glucosyl-hydroxycinnamate
x	cis-beta-D-Glucosyl-2-hydroxycinnamate;;beta-D-Glucosyl-2-coumarinate	todo2	C15H18O8	326.100168	NA	C05839	5316113	Glucosyl-hydroxycinnamate
	"DIMBOA-glucoside;;2,4-Dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucoside;;2,4-Dihydroxy-7-methoxy-1,4-benzoxazin-3-one glucoside"	todo2	C15H19NO10	373.100896	NA	C04831	11132470	DIMBOA-glucoside
	"O-Carbamoyl-deacetylcephalosporin C"	todo2	C15H20N4O8S	416.100185	NA	C06568	194116	"O-Carbamoyl-deacetylcephalosporin C"
	"7a-Hydroxy-O-carbamoyl-deacetylcephalosporin C"	todo2	C15H20N4O9S	432.095099	NA	C06569	441085	"7a-Hydroxy-O-carbamoyl-deacetylcephalosporin C"
	Costunolide;;(+)-Costunolide	todo2	C15H20O2	232.14633	HMDB23236	C09382	5281437	Costunolide
	"Abscisic aldehyde"	todo	C15H20O3	248.141244		C13455	5282224	"Abscisic aldehyde"
	Abscisate	todo	C15H20O4	264.136159	HMDB21536;HMDB35140	C06082	5280896	Abscisate
	"Phaseic acid"	todo2	C15H20O5	280.131074	NA	C09707	5281527	"Phaseic acid"
	"8-Hydroxyabscisate;;8-Hydroxyabscisic acid"	todo2	C15H20O5	280.131074	NA	C15514	11954194	8-Hydroxyabscisate
	"4-Hydroxycinnamyl alcohol 4-D-glucoside;;p-Coumaryl alcohol 4-O-glucoside"	todo2	C15H20O7	312.120903	NA	C05855	5280847	"4-Hydroxycinnamyl alcohol 4-D-glucoside"
	Nivalenol	todo2	C15H20O7	312.120903	HMDB04304	C06080	440908	Nivalenol
	"Isopentenyl adenosine"	todo2	C15H21N5O4	335.159354	NA	C16427	24405	"Isopentenyl adenosine"
	O-beta-D-Xylosylzeatin;;O-beta-D-Xyloxylzeatin	todo2	C15H21N5O5	351.154269	NA	C03300	21158449	O-beta-D-Xylosylzeatin
	"trans-Zeatin riboside"	todo2	C15H21N5O5	351.154269	NA	C16431	6440982	"trans-Zeatin riboside"
	"cis-Zeatin riboside"	todo2	C15H21N5O5	351.154269	NA	C16449	13935024	"cis-Zeatin riboside"
	"Gluconasturtiin;;2-Phenylethyl glucosinolate"	todo2	C15H21NO9S2	423.065773	HMDB25095	C08417	656555	Gluconasturtiin
	"Capecitabine;;(1-(5-Deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester"	todo2	C15H22FN3O6	359.149264	HMDB15233	C12650	60953	Capecitabine
	UDP-4-dehydro-6-deoxy-D-glucose;;UDP-4-keto-6-deoxy-D-glucose;;UDP-4-oxo-6-deoxy-D-glucose;;UDP-4-dehydro-6-deoxy-alpha-D-glucose	todo2	C15H22N2O16P2	548.044456	HMDB12300	C04089	23724475	UDP-4-dehydro-6-deoxy-D-glucose
	UDP-4-keto-rhamnose	todo2	C15H22N2O16P2	548.044456	NA	C17328	44237352	UDP-4-keto-rhamnose
	"UDP-glucuronic acid"	Carbohydrates	C15H22N2O18P2	580.034285	HMDB00935	C00167	17473	"UDP glucuronic acid"
	UDP-D-galacturonate;;UDPgalacturonate	todo2	C15H22N2O18P2	580.034285	HMDB12302	C00617	23724463	"UDP galacturonate"
	UDP-L-iduronate	todo2	C15H22N2O18P2	580.034285	HMDB12304	C02330	15592259	"UDP iduronate"
	Feruloylagmatine	todo2	C15H22N4O3	306.169191	HMDB37107	C18325	46173376	Feruloylagmatine
	cADP-ribose	Nucleotides	C15H22N5O16P3	621.02744	HMDB11671		53481021	cADP-ribose
	"N6-(delta2-Isopentenyl)-adenosine 5-monophosphate;;N6-(Dimethylallyl)adenosine 5-phosphate;;Isopentenyl-AMP"	todo2	C15H22N5O7P	415.125685	NA	C04713	100221	"N6-(delta2-Isopentenyl)-adenosine 5-monophosphate"
x	"trans-Zeatin riboside  monophosphate"	todo2	C15H22N5O8P	431.120599	NA	C16430	11561034	"Zeatin riboside  monophosphate"
x	"cis-Zeatin riboside monophosphate"	todo2	C15H22N5O8P	431.120599	NA	C16441	23724752	"Zeatin riboside  monophosphate"
